file_name,instruction,rewritten_query,处理好的url
web_7a5f6ad5-ec34-4693-ac45-136547757893.png,set reminder,"屏幕右侧，紧靠着""Web IDE""和下载按钮的蓝色按钮，上面有文字""Clone""。",C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\91_web_7a5f6ad5-ec34-4693-ac45-136547757893.png
web_e0f18fd6-2a59-4fab-89f0-864c70bba241.png,create a new issue,红框圈出的元素是一个输入框，用于搜索或过滤列表结果。输入框右侧有一个搜索图标。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\93_web_e0f18fd6-2a59-4fab-89f0-864c70bba241.png
web_e0f18fd6-2a59-4fab-89f0-864c70bba241.png,download,红框圈出的元素是一个输入框，用于搜索或过滤列表结果。输入框右侧有一个搜索图标。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\94_web_e0f18fd6-2a59-4fab-89f0-864c70bba241.png
web_6c677961-e540-4cc5-b725-5e301019a9f9.png,choose type of issue,红框圈出的是一个多行文本框，用于输入描述信息，提示文字是“Write a description or drag your files here...”，下方有提示支持Markdown，并带有Markdown格式的工具栏。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\96_web_6c677961-e540-4cc5-b725-5e301019a9f9.png
web_6c677961-e540-4cc5-b725-5e301019a9f9.png,bold lettering,红框圈出的是一个多行文本框，用于输入描述信息，提示文字是“Write a description or drag your files here...”，下方有提示支持Markdown，并带有Markdown格式的工具栏。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\97_web_6c677961-e540-4cc5-b725-5e301019a9f9.png
web_6c677961-e540-4cc5-b725-5e301019a9f9.png,full screen display,红框圈出的是一个多行文本框，用于输入描述信息，提示文字是“Write a description or drag your files here...”，下方有提示支持Markdown，并带有Markdown格式的工具栏。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\98_web_6c677961-e540-4cc5-b725-5e301019a9f9.png
web_6c677961-e540-4cc5-b725-5e301019a9f9.png,insert tables,红框圈出的是一个多行文本框，用于输入描述信息，提示文字是“Write a description or drag your files here...”，下方有提示支持Markdown，并带有Markdown格式的工具栏。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\99_web_6c677961-e540-4cc5-b725-5e301019a9f9.png
web_9443f61f-7d14-4e60-8297-29df73b7cbdd.png,click the icon to sort by created date,红框中的元素是一条合并请求，标题为“Debug build time”，创建于三天前，由Byte Blaze创建，并且在三天前进行了更新。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\101_web_9443f61f-7d14-4e60-8297-29df73b7cbdd.png
web_af76d21a-0a23-49c3-bc5b-842073bf28af.png,search my projects,这是一个包含时钟图标和“Activity”文本的菜单项，位于左侧导航菜单中的“Explore”下方。点击此菜单项可以查看活动日志。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\103_web_af76d21a-0a23-49c3-bc5b-842073bf28af.png
web_6b685114-53fc-40a1-ac42-3b8fbdd27fdd.png,delete the byte blaze assignee,红框元素是一个按钮，上面写着“Subscribe to RSS feed”，旁边是一个RSS订阅图标。这个按钮位于网页右上角，与“Subscribe to calendar”按钮并排。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\105_web_6b685114-53fc-40a1-ac42-3b8fbdd27fdd.png
web_b97bb6a3-999c-463a-b957-5584c14c8395.png,Click the thumbs up icon on this issue,页面右侧“Close issue”按钮旁边有三个垂直点，点击可以查看关于该问题的更多信息或进行其他操作。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\107_web_b97bb6a3-999c-463a-b957-5584c14c8395.png
web_b97bb6a3-999c-463a-b957-5584c14c8395.png,Click the thumbs down icon on this issue,页面右侧“Close issue”按钮旁边有三个垂直点，点击可以查看关于该问题的更多信息或进行其他操作。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\108_web_b97bb6a3-999c-463a-b957-5584c14c8395.png
web_b97bb6a3-999c-463a-b957-5584c14c8395.png,reply to emoticon,页面右侧“Close issue”按钮旁边有三个垂直点，点击可以查看关于该问题的更多信息或进行其他操作。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\109_web_b97bb6a3-999c-463a-b957-5584c14c8395.png
web_5a35d9c2-2c2d-4a49-ad0a-1408d9cac78e.png,close this issue,页面右侧区域最上方的红色按钮，上面写着“Add a to do”。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\111_web_5a35d9c2-2c2d-4a49-ad0a-1408d9cac78e.png
web_5a35d9c2-2c2d-4a49-ad0a-1408d9cac78e.png,add a todo,页面右侧区域最上方的红色按钮，上面写着“Add a to do”。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\112_web_5a35d9c2-2c2d-4a49-ad0a-1408d9cac78e.png
web_e640514e-5946-4808-922f-f50c51b0da78.png,edit my profile,红框中的元素是导航栏中的“Groups”链接，点击此链接可以切换到分组视图。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\113_web_e640514e-5946-4808-922f-f50c51b0da78.png
web_e640514e-5946-4808-922f-f50c51b0da78.png,check my followers,红框中的元素是导航栏中的“Groups”链接，点击此链接可以切换到分组视图。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\114_web_e640514e-5946-4808-922f-f50c51b0da78.png
web_8d623438-5ac7-44f8-ab67-e07309a92f4a.png,view all personal projects,"红框框出的元素位于页面右侧的""Personal projects""区域，是一个包含""chatgpt_plugin""文本的链接，链接右侧还有""Owner""标签和表示更新时间的""Updated 1 day ago""文本，以及星星和分支图标，数量均为0。",C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\116_web_8d623438-5ac7-44f8-ab67-e07309a92f4a.png
web_0492a7c3-3b0d-4f62-8c0d-939ad51aa616.png,visit docs.gitlab.com,红框框住了GitLab文档页面中的“Use GitLab”部分，它包含标题“Use GitLab”和描述文本“Get started with GitLab features and functionality。”,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\119_web_0492a7c3-3b0d-4f62-8c0d-939ad51aa616.png
web_0492a7c3-3b0d-4f62-8c0d-939ad51aa616.png,check the docs of how to use gitlab,红框框住了GitLab文档页面中的“Use GitLab”部分，它包含标题“Use GitLab”和描述文本“Get started with GitLab features and functionality。”,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\120_web_0492a7c3-3b0d-4f62-8c0d-939ad51aa616.png
web_1cc05cca-502a-41c3-aebc-b901f85a40fd.png,switch to why gitlab doc,页面顶部导航栏中的放大镜图标，点击该图标可以进行搜索。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\121_web_1cc05cca-502a-41c3-aebc-b901f85a40fd.png
web_1cc05cca-502a-41c3-aebc-b901f85a40fd.png,check pricing,页面顶部导航栏中的放大镜图标，点击该图标可以进行搜索。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\122_web_1cc05cca-502a-41c3-aebc-b901f85a40fd.png
web_1cc05cca-502a-41c3-aebc-b901f85a40fd.png,sign in,页面顶部导航栏中的放大镜图标，点击该图标可以进行搜索。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\123_web_1cc05cca-502a-41c3-aebc-b901f85a40fd.png
web_200e430d-ec76-48af-987c-ad658b74ab33.png,view solution of ai,红框中的元素是“View all solutions”的链接，位于解决方案下拉菜单的左下角，点击它可以查看所有解决方案。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\125_web_200e430d-ec76-48af-987c-ad658b74ab33.png
web_201fbfed-1dd7-4532-b49a-b465ef775c8b.png,check the resources,页面中间偏左侧价格为$29每用户每月的Premium套餐下方的“Buy GitLab Premium”按钮，点击该按钮将购买GitLab的Premium服务。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\127_web_201fbfed-1dd7-4532-b49a-b465ef775c8b.png
web_201fbfed-1dd7-4532-b49a-b465ef775c8b.png,Purchase GitLab Premium service,页面中间偏左侧价格为$29每用户每月的Premium套餐下方的“Buy GitLab Premium”按钮，点击该按钮将购买GitLab的Premium服务。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\128_web_201fbfed-1dd7-4532-b49a-b465ef775c8b.png
web_a905f71b-cfe3-4add-b37e-fa2a96067b8c.png,get free trial,红框圈出的元素是页面中的一个按钮，按钮文字为“Contact Sales”，位于页面右侧的模块中，该模块上方文字为“Purchase GitLab through Cloud Marketplaces seamlessly.”，左侧模块中文字为“Talk to an expert”,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\129_web_a905f71b-cfe3-4add-b37e-fa2a96067b8c.png
web_a905f71b-cfe3-4add-b37e-fa2a96067b8c.png,contact sales,红框圈出的元素是页面中的一个按钮，按钮文字为“Contact Sales”，位于页面右侧的模块中，该模块上方文字为“Purchase GitLab through Cloud Marketplaces seamlessly.”，左侧模块中文字为“Talk to an expert”,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\130_web_a905f71b-cfe3-4add-b37e-fa2a96067b8c.png
web_32fce6b7-8437-4877-8436-f67c99d82f81.png,view supported cloud,页面顶部导航栏中，红框圈起来的部分是“Contact us”链接，它位于“Company”和搜索图标之间，点击该链接可以进入联系我们页面。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\131_web_32fce6b7-8437-4877-8436-f67c99d82f81.png
web_37acd27f-731c-4292-8caf-159b9be41189.png,install for ubuntu,页面右侧的列表中，“Community-contributed”下方标注有红框的文字“Already installed?”，用于询问用户是否已经安装了 GitLab。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\133_web_37acd27f-731c-4292-8caf-159b9be41189.png
web_90c0cf0e-3885-46d1-a1fd-2b29645398d3.png,view efficiency,红框元素是页面中一个描述GitLab公司价值观的卡片，上面写着“Transparency”，卡片上方有一个书本形状的图标，下方有关于Transparency的英文描述文本。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\135_web_90c0cf0e-3885-46d1-a1fd-2b29645398d3.png
web_94a52247-8dd4-4f19-82ea-19185a9b2649.png,check api security,页面顶部的导航菜单中，有一个包含图标和文字“Create”的按钮，位于“Plan”和“Verify”之间。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\137_web_94a52247-8dd4-4f19-82ea-19185a9b2649.png
web_94a52247-8dd4-4f19-82ea-19185a9b2649.png,switch to govern,页面顶部的导航菜单中，有一个包含图标和文字“Create”的按钮，位于“Plan”和“Verify”之间。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\138_web_94a52247-8dd4-4f19-82ea-19185a9b2649.png
web_463c0536-492e-475c-930d-d95ee476ec3c.png,switch to private visibility level,复选框“Enable Static Application Security Testing (SAST)”。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\141_web_463c0536-492e-475c-930d-d95ee476ec3c.png
web_6466b8cc-deea-451a-8019-d0684052d771.png,enable notifications,红框框出了Administrator在2年前创建的评论旁边的评论图标按钮，点击可以回复该评论。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\143_web_6466b8cc-deea-451a-8019-d0684052d771.png
web_6466b8cc-deea-451a-8019-d0684052d771.png,comment to administrator,红框框出了Administrator在2年前创建的评论旁边的评论图标按钮，点击可以回复该评论。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\144_web_6466b8cc-deea-451a-8019-d0684052d771.png
web_4befbc37-411b-4621-8a3c-c1d95676efa1.png,download the project,在文件列表区域，列表的第一列名称中，红框标注了文件夹名称“data”。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\145_web_4befbc37-411b-4621-8a3c-c1d95676efa1.png
web_4befbc37-411b-4621-8a3c-c1d95676efa1.png,unstar the project,在文件列表区域，列表的第一列名称中，红框标注了文件夹名称“data”。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\146_web_4befbc37-411b-4621-8a3c-c1d95676efa1.png
web_586be1bf-6fab-43bf-adad-640eaab4a0df.png,copy the ssh link,这是一个复制链接的图标按钮，它位于“Clone with HTTP”链接的右侧。点击它可以复制HTTP链接地址。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\148_web_586be1bf-6fab-43bf-adad-640eaab4a0df.png
web_48737870-2f75-4199-a2d0-176d04543b2b.png,check the owner of coding_friends,"在 Groups 页面中，coding_friends 分组右侧带有地球图标的 ""Owner"" 标签。",C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\151_web_48737870-2f75-4199-a2d0-176d04543b2b.png
web_7d1b09cc-3602-4670-9fb2-d81afb5ec381.png,click to search in this page,在仪表板页面中，在“范围”下拉菜单的右侧有一个带问号的按钮，用于获取有关范围的信息。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\153_web_7d1b09cc-3602-4670-9fb2-d81afb5ec381.png
web_7d1b09cc-3602-4670-9fb2-d81afb5ec381.png,check notification,在仪表板页面中，在“范围”下拉菜单的右侧有一个带问号的按钮，用于获取有关范围的信息。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\154_web_7d1b09cc-3602-4670-9fb2-d81afb5ec381.png
web_d0e6082c-90d2-4637-ab9f-65b768240848.png,view orders,“Sales”标题旁边的关闭图标，点击它可以关闭当前的Sales页面。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\156_web_d0e6082c-90d2-4637-ab9f-65b768240848.png
web_921e2d81-b8a5-425a-81e6-476cd16f9bdb.png,view detail of products,"在左侧导航栏中，位于""CATALOG""下方且包含人形图标和""CUSTOMERS""文本的元素。",C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\158_web_921e2d81-b8a5-425a-81e6-476cd16f9bdb.png
web_d2dd06b0-8826-4dd6-a3b7-0d88c123a04b.png,search by keyword,红框元素是一个下拉菜单，用于选择每页显示的订单数量。当前选中值为200，位于“per page”文本的左侧。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\160_web_d2dd06b0-8826-4dd6-a3b7-0d88c123a04b.png
web_ddeabd10-ccfc-4881-b301-9364d7a04279.png,go back,在页面的右上角，一个带有个人图标和“admin”文本的下拉按钮，用于管理管理员账户。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\162_web_ddeabd10-ccfc-4881-b301-9364d7a04279.png
web_de7dcaf3-f2e3-49f4-84fd-36088f39238c.png,select the data item named div garg,红框突出显示的是“Filters”按钮，带有漏斗图标，点击此按钮可以对客户列表进行筛选操作，它位于客户列表搜索框下方，页面右侧。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\164_web_de7dcaf3-f2e3-49f4-84fd-36088f39238c.png
web_d1cc72e3-da3f-4d48-bab4-a6aa0bc5a807.png,view more partners,图片右侧“Magento Marketplace”区域内，有一个按钮，按钮文字是“Visit Magento Marketplaces”。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\167_web_d1cc72e3-da3f-4d48-bab4-a6aa0bc5a807.png
web_dd867d69-511e-4ab2-834e-2e111c7b3198.png,reset fliter,在“搜索条件”页面上，“搜索查询”列下方的空白文本框，用户可以在其中输入文本进行搜索。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\170_web_dd867d69-511e-4ab2-834e-2e111c7b3198.png
web_dd867d69-511e-4ab2-834e-2e111c7b3198.png,go to next page,在“搜索条件”页面上，“搜索查询”列下方的空白文本框，用户可以在其中输入文本进行搜索。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\171_web_dd867d69-511e-4ab2-834e-2e111c7b3198.png
web_d3f48983-3396-4249-990c-d1214fbed944.png,add the first product into cart,在商品展示区域，V8 +Energy 健康能量饮料商品卡片下方，添加到购物车按钮右侧的爱心形收藏按钮。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\173_web_d3f48983-3396-4249-990c-d1214fbed944.png
web_55e57d6e-0cb0-4024-b89f-89a3c594f20e.png,"view clothing, shoes and jewelry",红框圈出的元素是导航栏中的一个选项，文本为“Video Games”。它与其他类似选项（如“Electronics”和“Grocery & Gourmet Food”）并列排列，位于页面顶部。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\175_web_55e57d6e-0cb0-4024-b89f-89a3c594f20e.png
web_a8de66ff-c058-4617-9484-82662d95fbc1.png,check shopping cart,页面顶部导航栏中的“My Account”链接，位于“One Stop Market”网站的Logo旁边，点击后会进入用户账户页面。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\177_web_a8de66ff-c058-4617-9484-82662d95fbc1.png
web_f4ee1ae3-a244-40f8-90cb-e68411f00636.png,checkout,购物车弹窗中，Carnation Breakfast Essentials Nutritional Drink (Pack of 8)商品数量输入框，当前数量为5。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\179_web_f4ee1ae3-a244-40f8-90cb-e68411f00636.png
web_f4ee1ae3-a244-40f8-90cb-e68411f00636.png,close the cart,购物车弹窗中，Carnation Breakfast Essentials Nutritional Drink (Pack of 8)商品数量输入框，当前数量为5。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\180_web_f4ee1ae3-a244-40f8-90cb-e68411f00636.png
web_f4ee1ae3-a244-40f8-90cb-e68411f00636.png,delete carnation breakfast essentials nutritional drink in cart,购物车弹窗中，Carnation Breakfast Essentials Nutritional Drink (Pack of 8)商品数量输入框，当前数量为5。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\181_web_f4ee1ae3-a244-40f8-90cb-e68411f00636.png
web_d00882a8-4d93-4116-91ad-e8bb8fdd8ff2.png,change password,左侧菜单栏中的“My Downloadable Products”链接，位于“My Orders”下方和“My Wish List”上方。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\183_web_d00882a8-4d93-4116-91ad-e8bb8fdd8ff2.png
web_9043e264-b5ec-4da5-ae7a-b19cfc1d178b.png,go to next page,这是一个下拉菜单，当前选中值是10，其右侧有文本'per page'。该下拉菜单用于调整每页显示的商品数量。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\185_web_9043e264-b5ec-4da5-ae7a-b19cfc1d178b.png
web_f80a102f-7b1a-40f4-ad52-193e52d0cda0.png,add the rh interiors weathered wood bundle table lamp to cart,"在页面中部的商品列表中，有一个商品的名称为""Elmwood Inn Fine Teas, Orange Vanilla Caffeine-free Fruit Infusion, 16-Ounce Pouch""，该商品的价格是$19.36，并且获得了4个评价。在该商品的下方，有一个红框标注的评论输入框。",C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\187_web_f80a102f-7b1a-40f4-ad52-193e52d0cda0.png
web_f80a102f-7b1a-40f4-ad52-193e52d0cda0.png,comment to elmwood inn fine tea,"在页面中部的商品列表中，有一个商品的名称为""Elmwood Inn Fine Teas, Orange Vanilla Caffeine-free Fruit Infusion, 16-Ounce Pouch""，该商品的价格是$19.36，并且获得了4个评价。在该商品的下方，有一个红框标注的评论输入框。",C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\188_web_f80a102f-7b1a-40f4-ad52-193e52d0cda0.png
web_2595ae32-9df7-4198-a48e-6c291a1fb01c.png,view previous images,右侧缩略图，展示了产品包装袋的尺寸和在人体上的大致比例。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\191_web_2595ae32-9df7-4198-a48e-6c291a1fb01c.png
web_a4d22512-1c68-4fda-9b49-d207326365ce.png,print the page,关闭按钮，位于页面右侧，用于关闭当前商品详情页面。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\193_web_a4d22512-1c68-4fda-9b49-d207326365ce.png
web_844d70be-3743-409c-abf0-a148975fdbc8.png,adjusting the display layout of items,商品列表右上方，有一个向上箭头的按钮，用于按商品位置排序。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\195_web_844d70be-3743-409c-abf0-a148975fdbc8.png
web_e891e448-0f8e-4673-9122-405a48cabad3.png,next page,网页底部显示页码的区域，其中第5页被红框标出。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\197_web_e891e448-0f8e-4673-9122-405a48cabad3.png
web_e891e448-0f8e-4673-9122-405a48cabad3.png,page 5,网页底部显示页码的区域，其中第5页被红框标出。,C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\198_web_e891e448-0f8e-4673-9122-405a48cabad3.png
web_60786716-b5ae-47f4-bd46-c5f9a0e87293.png,enter email address,"页面右侧""New Customers""下方，有蓝色背景的""Create an Account""按钮。",C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\200_web_60786716-b5ae-47f4-bd46-c5f9a0e87293.png
web_bb6f684d-6060-478d-aceb-d0b77c23a68b.png,reset the password,"页面左上角标有""One Stop Market""字样的Logo，点击它可以回到网站主页。",C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\202_web_bb6f684d-6060-478d-aceb-d0b77c23a68b.png
web_bb6f684d-6060-478d-aceb-d0b77c23a68b.png,go to onestop market homepage,"页面左上角标有""One Stop Market""字样的Logo，点击它可以回到网站主页。",C:\Users\27173\Desktop\vision_benchmark_test\bad_case_img\203_web_bb6f684d-6060-478d-aceb-d0b77c23a68b.png
